ID,Gender,FTE,Emp Type,Department,Branch,Salary,Leave Balance,Date of Join,Date of Birth,Tenure,Tenure Group,Age
EMP13653,MALE  ,1,Permanent,Beta,Onboarding,"$75,315 ",23,15-Jun-22,6-Apr-65,3.92,4. 2 or more years.,61.15
EMP14030,FEMALE,1,Permanent,Beta,Onboarding,"$78,930 ",17,14-Jun-22,5-Dec-75,3.93,4. 2 or more years.,50.48
EMP24533,FEMALE,1,Other,Beta,Legal,"$100,130 ",9,27-Jun-22,23-Nov-19,3.89,4. 2 or more years.,106.55
EMP22630,FEMALE,1,Permanent,Gamma,Web Design,"$70,385 ",13,13-Jul-21,25-Sep-66,4.85,4. 2 or more years.,59.68
EMP16847,FEMALE,0.53,Permanent,Zeta,Service Quality Assurance,"$58,175 ",10,11-Jul-22,11-Jul-86,3.85,4. 2 or more years.,39.88
EMP12051,FEMALE,0,Permanent,Alpha,Cocoa Sales,"$92,045 ",25,10-May-22,23-Dec-19,4.02,4. 2 or more years.,106.47
EMP5152,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$77,030 ",20,13-Dec-21,3-May-82,4.43,4. 2 or more years.,44.07
EMP15912,MALE  ,1,Permanent,Alpha,Chocolatiers,"$99,900 ",8,4-Jul-22,13-Mar-88,3.87,4. 2 or more years.,38.2
EMP9352,FEMALE,1,Permanent,Gamma,Chocolatiers,"$59,725 ",9,2-May-22,13-Feb-89,4.04,4. 2 or more years.,37.28
EMP12450,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$81,135 ",28,3-Jun-22,12-May-93,3.96,4. 2 or more years.,33.04
EMP15837,MALE  ,1,Permanent,Zeta,Accounting,"$60,105 ",8,28-Jun-22,17-Nov-65,3.89,4. 2 or more years.,60.54
EMP2127,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$84,505 ",4,3-May-21,4-Jul-55,5.04,4. 2 or more years.,70.92
EMP26850,FEMALE,1,Other,Gamma,Powders,"$67,820 ",20,1-Aug-22,15-Nov-19,3.79,4. 2 or more years.,106.58
EMP23726,FEMALE,0,Other,Gamma,Web Design,"$95,035 ",12,25-Feb-22,26-Nov-19,4.22,4. 2 or more years.,106.55
EMP505,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$80,860 ",17,12-Oct-20,20-Jan-67,5.6,4. 2 or more years.,59.36
EMP8039,FEMALE,1,Permanent,Alpha,Chocolatiers,"$92,975 ",8,11-Apr-22,14-Sep-75,4.1,4. 2 or more years.,50.71
EMP9314,FEMALE,1,Permanent,Delta,Fruits & Vegetables,"$82,540 ",17,3-May-22,2-Sep-60,4.04,4. 2 or more years.,65.75
EMP7290,FEMALE,1,Permanent,Zeta,Service Quality Assurance,"$79,900 ",13,21-Mar-22,26-Apr-86,4.16,4. 2 or more years.,40.08
EMP15439,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$76,630 ",23,28-Jun-22,17-Jan-93,3.89,4. 2 or more years.,33.35
EMP14489,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$63,555 ",12,20-Jun-22,27-Apr-82,3.91,4. 2 or more years.,44.08
EMP26668,MALE  ,1,Other,Alpha,Chocolatiers,"$52,560 ",6,29-Jul-22,14-Nov-19,3.8,4. 2 or more years.,106.58
EMP8091,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$69,710 ",14,6-Apr-22,4-Mar-81,4.12,4. 2 or more years.,45.23
EMP17722,FEMALE,1,Permanent,Zeta,Accounting,"$75,180 ",11,15-Jul-22,30-Nov-64,3.84,4. 2 or more years.,61.5
EMP10445,MALE  ,1,Permanent,Gamma,Web Design,"$76,345 ",7,16-May-22,3-May-85,4.01,4. 2 or more years.,41.07
EMP4850,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$96,295 ",23,6-Dec-21,2-Nov-68,4.45,4. 2 or more years.,57.58
EMP382,FEMALE,0.5,Permanent,Alpha,Recipe Makers,"$53,415 ",8,5-Oct-20,9-Mar-74,5.62,4. 2 or more years.,52.22
EMP25288,MALE  ,1,Other,Beta,Legal,"$91,225 ",7,4-Jul-22,29-Nov-19,3.87,4. 2 or more years.,106.54
EMP21243,FEMALE,0.79,Permanent,Gamma,Cake Design,"$49,595 ",17,23-Aug-21,15-Nov-77,4.73,4. 2 or more years.,48.53
EMP2472,FEMALE,1,Permanent,Alpha,Plantation,"$62,205 ",10,31-May-21,5-May-78,4.96,4. 2 or more years.,48.07
EMP16321,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$93,130 ",13,4-Jul-22,3-Nov-93,3.87,4. 2 or more years.,32.56
EMP19427,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$91,780 ",14,25-Jul-22,28-Feb-78,3.81,4. 2 or more years.,48.25
EMP14148,MALE  ,1,Permanent,Zeta,Accounts Payable,"$63,220 ",18,20-Jun-22,13-May-85,3.91,4. 2 or more years.,41.04
EMP20523,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$51,205 ",23,1-Aug-22,20-Sep-84,3.79,4. 2 or more years.,41.68
EMP11606,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$81,185 ",27,24-May-22,19-Nov-19,3.98,4. 2 or more years.,106.56
EMP23376,MALE  ,1,Permanent,Beta,Training and Empowerment,"$86,590 ",10,27-Jun-22,12-Dec-79,3.89,4. 2 or more years.,46.46
EMP20521,FEMALE,1,Permanent,Beta,Legal,"$97,340 ",21,1-Aug-22,7-Mar-80,3.79,4. 2 or more years.,46.22
EMP17307,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$84,610 ",20,6-Jul-22,1-Dec-19,3.87,4. 2 or more years.,106.53
EMP12841,MALE  ,1,Permanent,Gamma,Powders,"$60,555 ",20,8-Jun-22,14-Mar-76,3.94,4. 2 or more years.,50.21
EMP17240,MALE  ,1,Permanent,Gamma,Chocolatiers,"$97,330 ",21,11-Jul-22,25-Jul-83,3.85,4. 2 or more years.,42.84
EMP14420,FEMALE,1,Permanent,Zeta,Accounting,"$90,620 ",7,20-Jun-22,12-Aug-80,3.91,4. 2 or more years.,45.79
EMP341,FEMALE,1,Permanent,Alpha,Chocolatiers,"$80,750 ",20,20-May-20,3-Nov-72,5.99,4. 2 or more years.,53.57
EMP21210,FEMALE,1,Permanent,Gamma,Powders,"$80,150 ",20,11-Aug-21,1-Nov-64,4.77,4. 2 or more years.,61.58
EMP23781,MALE  ,1,Other,Epsilon,Financial Strategy,"$48,230 ",14,23-May-22,20-Nov-19,3.99,4. 2 or more years.,106.56
EMP23730,MALE  ,1,Permanent,Gamma,App Design,"$88,150 ",5,28-Feb-22,16-Jun-87,4.22,4. 2 or more years.,38.95
EMP15787,MALE  ,1,Permanent,Gamma,Powders,"$74,960 ",15,29-Jun-22,1-Apr-78,3.88,4. 2 or more years.,48.16
EMP26560,FEMALE,1,Other,Zeta,Accounting,"$70,680 ",8,29-Jul-22,25-Dec-19,3.8,4. 2 or more years.,106.47
EMP24520,FEMALE,1,Other,Beta,Legal,"$72,600 ",14,27-Jun-22,24-Dec-19,3.89,4. 2 or more years.,106.47
EMP12878,FEMALE,1,Permanent,Gamma,Powders,"$48,230 ",17,9-Jun-22,30-Oct-92,3.94,4. 2 or more years.,33.57
EMP12222,FEMALE,1,Permanent,Alpha,Chocolatiers,"$56,755 ",6,2-Jun-22,3-Sep-74,3.96,4. 2 or more years.,51.74
EMP16322,FEMALE,1,Fixed Term,Beta,Onboarding,"$86,980 ",7,4-Jul-22,23-Jun-50,3.87,4. 2 or more years.,75.95
EMP7951,MALE  ,1,Permanent,Epsilon,Financial Strategy,"$88,220 ",23,4-Apr-22,20-Dec-59,4.12,4. 2 or more years.,66.45
EMP4604,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$54,690 ",13,16-Nov-21,21-Aug-80,4.5,4. 2 or more years.,45.77
EMP529,FEMALE,1,Permanent,Alpha,Recipe Makers,"$76,105 ",15,2-Nov-20,28-Apr-72,5.54,4. 2 or more years.,54.09
EMP21757,FEMALE,0.6,Permanent,Gamma,Web Design,"$96,025 ",17,27-Jan-20,4-Nov-59,6.31,4. 2 or more years.,66.58
EMP9793,MALE  ,1,Permanent,Beta,Legal,"$76,770 ",3,9-May-22,4-Sep-83,4.02,4. 2 or more years.,42.73
EMP17693,FEMALE,1,Permanent,Gamma,App Design,"$61,800 ",14,14-Jul-22,23-Dec-71,3.84,4. 2 or more years.,54.44
EMP1366,MALE  ,1,Permanent,Delta,Plantation,"$81,675 ",13,8-Apr-22,24-Aug-72,4.11,4. 2 or more years.,53.76
EMP17207,MALE  ,1,Permanent,Zeta,Services,"$78,600 ",17,13-Jul-22,21-Aug-79,3.85,4. 2 or more years.,46.77
EMP4445,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$72,285 ",13,3-Nov-21,4-Apr-89,4.54,4. 2 or more years.,37.14
EMP15653,MALE  ,1,Permanent,Alpha,Chocolatiers,"$92,090 ",20,28-Jun-22,20-Mar-84,3.89,4. 2 or more years.,42.19
EMP3318,MALE  ,1,Permanent,Alpha,Recipe Makers,"$85,020 ",6,9-Aug-21,6-Feb-55,4.77,4. 2 or more years.,71.32
EMP8172,MALE  ,1,Permanent,Alpha,Chocolatiers,"$66,865 ",23,8-Apr-22,19-Mar-75,4.11,4. 2 or more years.,51.2
EMP14206,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$73,920 ",21,6-Jun-22,26-Nov-19,3.95,4. 2 or more years.,106.55
EMP3947,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$91,215 ",10,7-Sep-21,25-Nov-81,4.69,4. 2 or more years.,44.5
EMP6262,MALE  ,1,Permanent,Epsilon,Planning,"$64,540 ",2,23-Feb-22,23-Dec-64,4.23,4. 2 or more years.,61.44
EMP8289,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$75,855 ",24,13-Apr-22,5-May-85,4.1,4. 2 or more years.,41.06
EMP17496,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$75,300 ",20,13-Jul-22,30-Mar-97,3.85,4. 2 or more years.,29.15
EMP19530,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$86,955 ",11,25-Jul-22,31-Mar-91,3.81,4. 2 or more years.,35.15
EMP3686,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$48,230 ",5,23-Aug-21,13-Jan-81,4.73,4. 2 or more years.,45.37
EMP7033,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$83,710 ",9,14-Mar-22,12-May-72,4.18,4. 2 or more years.,54.05
